insertdate,source,tablename,nb_lines_collected,nb_lines_filtered,nb_lines_enriched,nb_lines_ingested_hive,nb_events_hive
2024-10-29T16:05:17.556312Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T16:06:17.557554Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T16:07:17.559355Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T16:08:17.561027Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T16:09:17.562481Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-30T09:32:39.852358Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-30T09:33:39.860989Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-30T09:34:39.862204Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-30T09:35:27.130319Z,Source_D,Table_4,6927,6423,6397,6299,51
2024-10-30T09:36:27.131602Z,Source_D,Table_4,7015,6412,6316,6215,52
2024-10-30T09:37:27.132647Z,Source_D,Table_4,7081,6467,6337,6217,58
2024-10-30T09:38:27.133889Z,Source_D,Table_4,6985,6508,6370,6174,51
2024-10-30T09:39:27.135970Z,Source_D,Table_4,6931,6470,6231,6151,55
2024-10-30T09:40:27.138569Z,Source_D,Table_4,6982,6599,6392,6221,60
2024-10-30T09:41:27.139324Z,Source_D,Table_4,7029,6426,6369,6137,54
2024-10-30T09:42:27.141265Z,Source_D,Table_4,7013,6435,6234,6221,50
2024-10-30T09:43:27.142802Z,Source_D,Table_4,7020,6457,6371,6262,54
2024-10-30T09:44:27.144849Z,Source_D,Table_4,7083,6594,6304,6278,56
2024-10-30T09:45:27.148273Z,Source_D,Table_4,7030,6530,6259,6292,57
2024-10-30T09:46:27.151172Z,Source_D,Table_4,7015,6457,6239,6231,55
2024-10-30T09:47:27.152234Z,Source_D,Table_4,6923,6566,6224,6161,50
2024-10-30T09:48:27.153835Z,Source_D,Table_4,7061,6599,6225,6159,57
2024-10-30T09:49:27.155781Z,Source_D,Table_4,7090,6526,6250,6197,57
2024-10-30T09:50:27.159616Z,Source_D,Table_4,7035,6459,6289,6226,55
2024-10-30T09:51:27.161313Z,Source_D,Table_4,6908,6411,6207,6148,59
2024-10-30T09:52:27.163534Z,Source_D,Table_4,6935,6590,6263,6233,53
2024-10-30T09:53:27.165429Z,Source_D,Table_4,6970,6414,6374,6193,55
2024-10-30T09:54:27.167733Z,Source_D,Table_4,6919,6422,6331,6186,54
2024-10-30T09:55:27.169416Z,Source_D,Table_4,7052,6583,6347,6194,55
2024-10-30T09:56:27.171261Z,Source_D,Table_4,6965,6552,6222,6111,57
2024-10-30T09:57:27.174289Z,Source_D,Table_4,7011,6487,6224,6221,58
2024-10-30T09:58:27.219209Z,Source_D,Table_4,6901,6519,6283,6255,51
2024-10-30T09:59:27.229801Z,Source_D,Table_4,6954,6594,6224,6202,60
2024-10-30T10:00:27.231438Z,Source_D,Table_4,6924,6470,6259,6117,59
2024-10-30T10:01:27.233681Z,Source_D,Table_4,6924,6490,6241,6131,51
2024-10-29T13:12:00Z,Source_D,Table_4,7000,6800,6300,6200,55
2024-10-29T13:12:00Z,Source_D,Table_4,11000,8070,6300,6200,55
2024-10-29T13:12:00Z,Source_D,Table_4,14007,10800,6300,6200,55
2024-10-29T13:12:00Z,Source_D,Table_4,8070,6310,6300,6200,55
2024-10-29T13:12:00Z,Source_D,Table_4,9000,5800,6300,6200,59
2024-10-29T13:12:00Z,Source_D,Table_4,9000,5800,6300,6200,59
2024-10-29T13:12:00Z,Source_D,Table_4,9000,5800,6300,6200,59
2024-10-29T13:12:00Z,Source_D,Table_4,9000,5800,6300,6200,59
2024-10-29T13:12:00Z,Source_D,Table_4,7000,6800,6300,6200,55
2024-10-29T13:12:00Z,Source_D,Table_4,10000,6800,6300,6200,55
2024-10-29T13:12:00Z,Source_D,Table_4,10000,6800,6300,6200,55
2024-10-30T10:25:23.251934Z,Source_D,Table_4,7049,6513,6345,6219,50
2024-10-30T10:26:23.254535Z,Source_D,Table_4,7010,6408,6368,6204,54
2024-10-30T10:27:23.255728Z,Source_D,Table_4,7044,6440,6209,6135,60
2024-10-30T10:28:23.257019Z,Source_D,Table_4,7041,6412,6370,6123,57
2024-10-30T10:29:23.258487Z,Source_D,Table_4,7053,6551,6263,6231,56
2024-10-30T10:30:23.260172Z,Source_D,Table_4,6953,6416,6277,6189,50
2024-10-30T10:31:23.261789Z,Source_D,Table_4,6966,6473,6318,6228,52
2024-10-30T10:32:23.263227Z,Source_D,Table_4,7024,6595,6267,6181,54
2024-10-30T10:33:23.264703Z,Source_D,Table_4,6960,6492,6228,6268,58
2024-10-30T10:34:23.266065Z,Source_D,Table_4,7010,6458,6244,6179,56
2024-10-30T10:35:23.268751Z,Source_D,Table_4,6985,6433,6295,6100,55
2024-10-30T10:36:23.269832Z,Source_D,Table_4,7032,6444,6297,6287,57
2024-10-30T10:37:23.271549Z,Source_D,Table_4,7072,6419,6209,6158,52
2024-10-31T10:52:04.724498Z,Source_D,Table_4,7053,6449,6359,6260,58
2024-10-31T10:53:04.735505Z,Source_D,Table_4,6957,6551,6384,6248,60
2024-10-31T10:54:04.739936Z,Source_D,Table_4,6938,6599,6292,6176,53
2024-10-31T10:55:04.742399Z,Source_D,Table_4,6949,6556,6338,6299,55
2024-10-31T10:56:04.743416Z,Source_D,Table_4,7019,6550,6309,6198,51
2024-10-31T10:57:04.744315Z,Source_D,Table_4,7099,6447,6388,6107,60
2024-10-31T10:58:04.746498Z,Source_D,Table_4,7094,6473,6382,6300,59
2024-10-31T10:59:04.747859Z,Source_D,Table_4,7071,6459,6388,6261,53
2024-10-31T11:00:04.748912Z,Source_D,Table_4,7079,6474,6216,6230,50
2024-10-31T11:01:04.750448Z,Source_D,Table_4,7089,6531,6227,6292,60
2024-10-31T11:02:04.754281Z,Source_D,Table_4,7054,6402,6285,6150,54
2024-10-31T11:03:04.771783Z,Source_D,Table_4,6959,6409,6265,6232,59
2024-10-31T11:04:04.797732Z,Source_D,Table_4,6941,6538,6219,6163,53
2024-10-31T11:05:04.799954Z,Source_D,Table_4,7070,6521,6319,6289,56
2024-10-31T11:06:04.801576Z,Source_D,Table_4,6948,6512,6397,6273,59
2024-10-31T11:07:04.805300Z,Source_D,Table_4,7024,6579,6258,6178,58
2024-10-31T11:08:04.807264Z,Source_D,Table_4,7010,6558,6202,6171,54
2024-10-31T11:09:04.809354Z,Source_D,Table_4,7024,6415,6388,6209,60
2024-10-31T11:10:04.811388Z,Source_D,Table_4,6979,6405,6276,6275,54
2024-10-31T11:11:04.813678Z,Source_D,Table_4,7046,6596,6284,6210,57
2024-10-31T11:12:04.816161Z,Source_D,Table_4,7094,6511,6204,6250,54
2024-10-31T11:13:04.817194Z,Source_D,Table_4,7095,6440,6339,6293,51
2024-10-31T11:14:04.822503Z,Source_D,Table_4,7084,6552,6314,6286,59
2024-10-31T11:15:04.824874Z,Source_D,Table_4,7093,6459,6368,6129,54
2024-10-31T11:16:04.826624Z,Source_D,Table_4,7053,6427,6262,6258,55
2024-10-31T11:17:04.827808Z,Source_D,Table_4,6958,6599,6320,6265,60
2024-10-31T12:15:32.866442Z,Source_D,Table_4,7091,6472,6315,6186,54
2024-10-31T12:16:32.875459Z,Source_D,Table_4,6962,6490,6213,6194,59
2024-10-31T12:17:32.877128Z,Source_D,Table_4,7036,6573,6281,6266,50
2024-10-31T12:18:32.878082Z,Source_D,Table_4,6930,6507,6372,6144,53
2024-10-31T12:19:32.882111Z,Source_D,Table_4,6900,6509,6292,6224,56
2024-10-31T12:20:32.886492Z,Source_D,Table_4,6930,6571,6398,6101,55
2024-10-31T12:21:32.888308Z,Source_D,Table_4,7093,6576,6309,6297,56
2024-10-31T12:22:32.890106Z,Source_D,Table_4,6986,6486,6253,6293,57
2024-10-31T12:23:32.892672Z,Source_D,Table_4,7043,6534,6280,6205,50
2024-10-31T12:24:32.893908Z,Source_D,Table_4,7050,6516,6354,6249,58
2024-10-31T12:25:32.895331Z,Source_D,Table_4,6943,6456,6400,6114,56
2024-10-31T12:26:32.896596Z,Source_D,Table_4,6900,6546,6309,6263,51
2024-10-31T12:27:32.897457Z,Source_D,Table_4,7014,6589,6262,6238,59
2024-10-31T12:28:32.898701Z,Source_D,Table_4,6977,6465,6347,6190,52
2024-10-31T12:29:32.900699Z,Source_D,Table_4,6905,6532,6297,6191,56
2024-10-31T12:30:32.901953Z,Source_D,Table_4,6953,6582,6326,6206,52
2024-10-31T12:31:32.905291Z,Source_D,Table_4,7001,6508,6392,6235,58
2024-10-31T12:32:32.906452Z,Source_D,Table_4,7089,6406,6233,6212,50
2024-10-31T12:33:32.910581Z,Source_D,Table_4,7018,6507,6365,6181,52
2024-10-31T12:34:32.911813Z,Source_D,Table_4,7098,6488,6243,6131,54
2024-10-31T12:35:32.915781Z,Source_D,Table_4,6979,6522,6266,6231,57
2024-10-31T12:36:32.917990Z,Source_D,Table_4,7090,6448,6299,6269,57
2024-10-31T12:37:32.922204Z,Source_D,Table_4,6963,6449,6325,6259,60
2024-10-31T12:38:32.925645Z,Source_D,Table_4,7015,6504,6380,6234,59
2024-10-31T12:39:32.927596Z,Source_D,Table_4,6987,6594,6254,6230,55
2024-10-31T12:40:32.929862Z,Source_D,Table_4,6991,6464,6204,6143,54
2024-10-31T12:41:32.933804Z,Source_D,Table_4,6959,6504,6246,6281,57
2024-10-31T12:42:32.936270Z,Source_D,Table_4,7036,6417,6373,6160,56
2024-10-31T12:43:32.938576Z,Source_D,Table_4,6958,6569,6291,6183,50
2024-10-31T12:44:32.940714Z,Source_D,Table_4,6947,6536,6271,6222,50
2024-10-31T12:45:32.942494Z,Source_D,Table_4,7085,6439,6321,6295,58
2024-10-31T12:46:32.948369Z,Source_D,Table_4,7068,6422,6307,6109,59
2024-10-31T12:54:26.570810Z,Source_D,Table_4,7029,6591,6266,6242,52
2024-10-31T12:55:26.571931Z,Source_D,Table_4,6923,6588,6293,6155,59
2024-10-31T12:56:26.572972Z,Source_D,Table_4,6955,6590,6269,6259,52
2024-10-31T12:57:26.574506Z,Source_D,Table_4,6941,6444,6332,6234,57
2024-10-31T12:58:26.575882Z,Source_D,Table_4,7098,6553,6399,6244,55
2024-10-31T12:59:26.577846Z,Source_D,Table_4,6978,6528,6388,6221,60
2024-10-31T13:00:26.579460Z,Source_D,Table_4,6921,6517,6261,6267,55
2024-10-31T13:01:26.580749Z,Source_D,Table_4,6988,6426,6400,6195,53
2024-10-31T13:02:26.582603Z,Source_D,Table_4,6991,6535,6310,6228,57
2024-10-31T13:03:26.583950Z,Source_D,Table_4,7096,6410,6234,6218,60
2024-10-31T13:04:26.585081Z,Source_D,Table_4,7062,6541,6232,6263,60
2024-10-31T13:05:26.586633Z,Source_D,Table_4,7001,6446,6249,6213,55
2024-10-31T13:06:26.588823Z,Source_D,Table_4,7014,6566,6398,6193,50
2024-10-31T13:07:26.591792Z,Source_D,Table_4,7000,6582,6253,6292,58
2024-10-31T13:08:26.593577Z,Source_D,Table_4,6909,6530,6295,6268,57
2024-10-31T13:09:26.594990Z,Source_D,Table_4,7022,6438,6308,6248,55
2024-10-31T13:10:26.597429Z,Source_D,Table_4,6958,6448,6239,6295,57
2024-10-31T13:11:26.599914Z,Source_D,Table_4,7016,6426,6247,6215,57
2024-10-31T13:12:26.603524Z,Source_D,Table_4,7078,6504,6262,6220,58
2024-10-31T13:13:26.604828Z,Source_D,Table_4,6905,6552,6273,6281,60
2024-10-31T13:14:26.605820Z,Source_D,Table_4,7053,6509,6239,6109,59
2024-10-31T13:15:26.606887Z,Source_D,Table_4,7041,6475,6213,6122,59
2024-10-31T13:16:26.610387Z,Source_D,Table_4,6940,6402,6352,6226,56
2024-10-31T13:17:26.611519Z,Source_D,Table_4,7027,6545,6242,6124,59
2024-10-31T13:18:26.613639Z,Source_D,Table_4,6933,6489,6233,6142,59
2024-10-31T14:44:17.971127Z,Source_D,Table_4,6945,6550,6279,6282,60
2024-10-31T14:45:17.972548Z,Source_D,Table_4,6988,6523,6398,6172,55
2024-10-31T14:46:17.973819Z,Source_D,Table_4,7027,6477,6241,6198,51
2024-10-31T14:47:17.977076Z,Source_D,Table_4,7048,6536,6340,6160,51
2024-10-31T14:48:17.978978Z,Source_D,Table_4,7037,6534,6248,6298,60
2024-10-31T14:49:17.982374Z,Source_D,Table_4,6997,6477,6398,6241,52
2024-10-31T14:50:17.986598Z,Source_D,Table_4,7028,6551,6243,6131,54
2024-10-31T14:51:17.987981Z,Source_D,Table_4,7019,6540,6278,6215,54
2024-10-31T14:52:17.993793Z,Source_D,Table_4,7089,6577,6248,6288,57
2024-10-31T14:53:17.996205Z,Source_D,Table_4,7067,6488,6262,6255,56
2024-10-31T14:54:17.998925Z,Source_D,Table_4,6989,6412,6266,6169,59
2024-10-31T14:55:18.000198Z,Source_D,Table_4,7018,6459,6313,6220,51
2024-10-31T14:56:18.001737Z,Source_D,Table_4,7079,6479,6304,6276,57
2024-10-31T14:57:18.002626Z,Source_D,Table_4,7070,6416,6325,6215,50
2024-10-31T14:58:18.005175Z,Source_D,Table_4,6968,6547,6211,6286,52
2024-10-31T14:59:18.006809Z,Source_D,Table_4,6906,6460,6322,6149,55
2024-10-31T15:00:18.007905Z,Source_D,Table_4,7078,6580,6201,6124,53
2024-10-31T15:01:18.008994Z,Source_D,Table_4,7030,6462,6269,6196,60
2024-10-31T15:02:18.010144Z,Source_D,Table_4,7056,6441,6272,6292,53
2024-10-31T15:03:18.014670Z,Source_D,Table_4,7074,6471,6325,6287,58
2024-10-31T15:04:18.016890Z,Source_D,Table_4,7028,6578,6339,6258,59
2024-10-31T15:05:18.018253Z,Source_D,Table_4,6923,6539,6294,6174,58
2024-10-31T15:06:18.019362Z,Source_D,Table_4,7035,6467,6268,6253,53
2024-10-31T15:07:18.021333Z,Source_D,Table_4,6971,6478,6370,6158,54
2024-10-31T15:08:18.024493Z,Source_D,Table_4,7051,6437,6299,6271,57
2024-10-31T15:09:18.026475Z,Source_D,Table_4,6947,6445,6267,6259,55
2024-10-31T15:10:18.028533Z,Source_D,Table_4,7078,6432,6275,6170,55
2024-11-05T11:30:46.264884Z,Source_D,Table_4,7089,6432,6335,6145,55
2024-11-05T11:31:46.277565Z,Source_D,Table_4,6938,6568,6373,6173,53
2024-11-05T11:32:46.280112Z,Source_D,Table_4,7008,6514,6312,6149,58
2024-11-05T11:33:46.282632Z,Source_D,Table_4,7044,6470,6295,6221,58
2024-11-05T11:34:46.283840Z,Source_D,Table_4,6931,6518,6367,6145,57
2024-11-05T11:35:46.286195Z,Source_D,Table_4,7031,6599,6208,6221,53
2024-11-05T11:36:46.287776Z,Source_D,Table_4,7025,6534,6307,6189,58
2024-11-05T11:37:46.291312Z,Source_D,Table_4,6958,6535,6360,6180,52
2024-11-05T11:38:46.293815Z,Source_D,Table_4,7093,6552,6276,6130,53
2024-11-05T11:39:46.295246Z,Source_D,Table_4,6971,6525,6372,6272,50
2024-11-05T11:40:46.296880Z,Source_D,Table_4,6983,6518,6283,6118,59
2024-11-05T11:41:46.298160Z,Source_D,Table_4,7013,6542,6373,6299,58
2024-11-05T11:42:46.299702Z,Source_D,Table_4,6935,6402,6288,6191,51
2024-11-05T11:43:46.302268Z,Source_D,Table_4,6979,6451,6232,6227,55
2024-11-05T11:44:46.303654Z,Source_D,Table_4,6978,6534,6213,6125,58
2024-11-05T11:45:46.304947Z,Source_D,Table_4,7002,6464,6267,6197,51
2024-11-05T11:46:46.306000Z,Source_D,Table_4,6942,6571,6377,6276,53
2024-11-05T11:47:46.307433Z,Source_D,Table_4,6985,6535,6278,6220,54
2024-11-05T11:48:46.315195Z,Source_D,Table_4,7046,6423,6289,6172,50
2024-11-05T11:49:46.318156Z,Source_D,Table_4,6936,6404,6266,6129,54
2024-11-05T11:50:46.320028Z,Source_D,Table_4,7062,6500,6297,6284,60
2024-11-05T11:51:46.321996Z,Source_D,Table_4,7025,6569,6390,6262,56
2024-11-05T11:52:46.323785Z,Source_D,Table_4,7045,6497,6337,6295,60
2024-11-05T11:53:46.325811Z,Source_D,Table_4,7082,6504,6319,6120,58
2024-11-05T11:54:46.329469Z,Source_D,Table_4,7003,6558,6340,6268,50
2024-11-05T11:55:46.331229Z,Source_D,Table_4,6989,6534,6345,6238,56
2024-11-05T11:56:46.343879Z,Source_D,Table_4,6987,6502,6245,6116,52
2024-11-05T11:57:46.361473Z,Source_D,Table_4,7085,6454,6213,6283,58
2024-11-05T11:58:46.364139Z,Source_D,Table_4,7096,6456,6231,6190,59
2024-11-05T11:59:46.365189Z,Source_D,Table_4,6965,6400,6294,6105,60
2024-11-05T12:00:46.367318Z,Source_D,Table_4,7067,6478,6386,6236,53
2024-11-05T12:01:46.369216Z,Source_D,Table_4,6939,6557,6300,6220,58
2024-11-05T12:02:46.370512Z,Source_D,Table_4,6922,6548,6235,6172,51
2024-11-05T12:03:46.373001Z,Source_D,Table_4,7031,6556,6262,6164,55
2024-11-05T12:04:46.379350Z,Source_D,Table_4,7055,6419,6251,6122,59
2024-11-05T12:05:46.380706Z,Source_D,Table_4,6904,6516,6251,6117,56
2024-11-05T12:06:46.381918Z,Source_D,Table_4,6923,6437,6266,6212,56
2024-11-05T12:07:46.383956Z,Source_D,Table_4,7088,6486,6388,6287,57
2024-11-05T12:08:46.385683Z,Source_D,Table_4,7050,6401,6258,6239,59
2024-11-05T12:09:46.387855Z,Source_D,Table_4,6908,6455,6351,6118,60
2024-11-05T12:10:46.391075Z,Source_D,Table_4,7004,6449,6278,6147,54
2024-11-05T12:11:46.393251Z,Source_D,Table_4,6944,6466,6265,6164,52
2024-11-05T12:12:46.394597Z,Source_D,Table_4,7026,6546,6256,6240,51
2024-11-05T12:13:46.395798Z,Source_D,Table_4,7061,6560,6249,6273,54
2024-11-05T12:14:46.397866Z,Source_D,Table_4,7042,6486,6297,6202,55
2024-11-05T12:15:46.399189Z,Source_D,Table_4,7010,6542,6311,6248,59
2024-11-05T12:16:46.405353Z,Source_D,Table_4,7046,6582,6297,6170,55
2024-11-05T12:17:46.409487Z,Source_D,Table_4,6942,6536,6319,6156,60
2024-11-05T12:18:46.411449Z,Source_D,Table_4,7046,6572,6214,6238,50
2024-11-05T12:19:46.412926Z,Source_D,Table_4,7029,6480,6360,6146,56
2024-11-05T12:20:46.415495Z,Source_D,Table_4,7073,6485,6256,6252,58
2024-11-05T12:21:46.418138Z,Source_D,Table_4,7081,6539,6246,6264,56
2024-11-05T12:22:46.420359Z,Source_D,Table_4,6952,6505,6249,6128,55
2024-11-05T12:23:46.422042Z,Source_D,Table_4,7011,6407,6201,6114,55
2024-11-05T12:24:46.424383Z,Source_D,Table_4,6957,6524,6264,6218,59
2024-11-05T12:25:46.427476Z,Source_D,Table_4,7050,6408,6292,6171,51
2024-11-05T12:26:46.435844Z,Source_D,Table_4,7093,6420,6326,6152,57
2024-11-05T12:27:46.437103Z,Source_D,Table_4,6913,6447,6352,6153,59
2024-11-05T12:28:46.438796Z,Source_D,Table_4,7094,6417,6242,6131,52
2024-11-05T12:29:46.440586Z,Source_D,Table_4,7064,6479,6204,6262,60
2024-11-05T12:30:46.441948Z,Source_D,Table_4,7076,6454,6309,6108,53
2024-11-05T12:31:46.444095Z,Source_D,Table_4,6905,6551,6307,6291,58
2024-11-05T12:32:46.446292Z,Source_D,Table_4,7012,6420,6229,6127,51
2024-11-05T12:33:46.447996Z,Source_D,Table_4,6954,6409,6201,6298,56
2024-11-05T12:34:46.451320Z,Source_D,Table_4,6953,6544,6348,6164,57
2024-11-05T12:35:46.452693Z,Source_D,Table_4,7091,6545,6311,6108,51
2024-11-05T12:36:46.454070Z,Source_D,Table_4,6948,6488,6348,6227,57
2024-11-05T12:37:46.455830Z,Source_D,Table_4,7059,6542,6332,6186,57
2024-11-05T12:38:46.457221Z,Source_D,Table_4,6997,6478,6235,6175,59
2024-11-05T12:39:46.458873Z,Source_D,Table_4,7074,6538,6391,6111,51
2024-11-05T12:40:46.461348Z,Source_D,Table_4,6955,6530,6213,6160,55
2024-11-05T12:41:46.463521Z,Source_D,Table_4,6968,6437,6321,6234,56
2024-11-05T12:42:46.465856Z,Source_D,Table_4,6930,6434,6343,6160,53
2024-11-05T12:43:46.467539Z,Source_D,Table_4,7025,6473,6301,6226,57
2024-11-05T12:44:46.469968Z,Source_D,Table_4,6930,6435,6355,6266,54
2024-11-05T12:45:46.473998Z,Source_D,Table_4,6982,6434,6203,6111,54
2024-11-05T12:46:46.613255Z,Source_D,Table_4,7067,6407,6371,6239,52
2024-11-05T12:47:46.615426Z,Source_D,Table_4,7093,6470,6239,6250,60
2024-11-05T12:48:46.618325Z,Source_D,Table_4,6940,6508,6348,6182,50
2024-11-05T12:49:46.620234Z,Source_D,Table_4,7009,6468,6292,6160,55
2024-11-05T12:50:46.621560Z,Source_D,Table_4,7011,6442,6322,6145,55
2024-11-05T12:51:46.624391Z,Source_D,Table_4,6983,6416,6381,6299,54
2024-11-05T12:52:46.627241Z,Source_D,Table_4,7096,6496,6376,6130,59
2024-11-05T12:53:46.629597Z,Source_D,Table_4,6929,6584,6296,6270,53
2024-11-05T12:54:46.631622Z,Source_D,Table_4,6953,6582,6355,6173,50
2024-11-05T12:55:46.634684Z,Source_D,Table_4,6982,6498,6321,6215,52
2024-11-05T12:56:46.636825Z,Source_D,Table_4,6972,6426,6310,6129,51
2024-11-05T12:57:46.638637Z,Source_D,Table_4,6936,6570,6270,6103,58
2024-11-05T12:58:46.640716Z,Source_D,Table_4,7091,6568,6283,6196,55
2024-11-05T12:59:46.644982Z,Source_D,Table_4,6927,6412,6315,6104,54
2024-11-05T13:00:46.646536Z,Source_D,Table_4,6959,6475,6262,6175,54
2024-11-05T13:01:46.649240Z,Source_D,Table_4,7008,6501,6280,6259,55
2024-11-05T13:02:46.650872Z,Source_D,Table_4,7060,6501,6225,6230,55
2024-11-05T13:03:46.652253Z,Source_D,Table_4,6976,6454,6267,6267,51
2024-11-05T13:04:46.654006Z,Source_D,Table_4,6958,6488,6210,6122,60
2024-11-05T13:05:46.655323Z,Source_D,Table_4,6985,6489,6328,6238,58
2024-11-05T13:06:46.657456Z,Source_D,Table_4,6990,6401,6219,6137,57
2024-11-05T13:07:46.659050Z,Source_D,Table_4,6935,6486,6315,6143,55
2024-11-05T13:08:46.661158Z,Source_D,Table_4,6904,6509,6226,6278,50
2024-11-05T13:09:46.663981Z,Source_D,Table_4,7052,6508,6248,6212,52
2024-11-05T13:10:46.665476Z,Source_D,Table_4,6956,6464,6396,6201,50
2024-11-05T13:11:46.668320Z,Source_D,Table_4,6947,6539,6333,6181,53
2024-11-05T13:12:46.672111Z,Source_D,Table_4,7073,6419,6295,6251,59
2024-11-05T13:13:46.674837Z,Source_D,Table_4,7022,6500,6359,6246,55
2024-11-05T13:14:46.676273Z,Source_D,Table_4,6939,6447,6280,6204,57
2024-11-05T13:15:46.677927Z,Source_D,Table_4,7052,6494,6233,6254,58
2024-11-05T13:16:46.679093Z,Source_D,Table_4,7085,6457,6373,6225,50
2024-11-05T13:17:46.690746Z,Source_D,Table_4,6908,6410,6353,6178,54
2024-11-05T13:18:46.695694Z,Source_D,Table_4,7063,6556,6304,6142,56
2024-11-05T13:19:46.701518Z,Source_D,Table_4,6972,6461,6314,6122,60
2024-11-05T13:20:46.703184Z,Source_D,Table_4,7050,6536,6289,6225,59
2024-11-05T13:21:46.706108Z,Source_D,Table_4,7008,6414,6293,6193,58
2024-11-05T13:22:46.707188Z,Source_D,Table_4,6988,6456,6284,6171,51
2024-11-05T13:23:46.709079Z,Source_D,Table_4,6907,6468,6351,6116,51
2024-11-05T13:24:46.711148Z,Source_D,Table_4,7089,6478,6207,6278,58
2024-11-05T13:25:46.714864Z,Source_D,Table_4,7069,6580,6301,6284,55
2024-11-05T13:26:46.716970Z,Source_D,Table_4,6929,6496,6293,6177,52
2024-11-05T13:27:46.718361Z,Source_D,Table_4,7082,6404,6207,6290,55
2024-11-05T13:28:46.722190Z,Source_D,Table_4,7040,6438,6244,6147,58
2024-11-05T13:29:46.724286Z,Source_D,Table_4,7038,6444,6380,6113,56
2024-11-05T13:30:46.726582Z,Source_D,Table_4,7025,6522,6336,6236,59
2024-11-05T13:31:46.728045Z,Source_D,Table_4,6956,6431,6388,6265,59
2024-11-05T13:32:46.729809Z,Source_D,Table_4,7017,6591,6389,6124,53
2024-11-05T13:33:46.731357Z,Source_D,Table_4,6911,6415,6315,6192,55
2024-11-05T13:34:46.732987Z,Source_D,Table_4,7014,6570,6333,6102,59
2024-11-05T13:35:46.736824Z,Source_D,Table_4,7047,6478,6296,6161,55
2024-11-05T13:36:46.742911Z,Source_D,Table_4,7005,6432,6318,6294,52
2024-11-05T13:37:46.745433Z,Source_D,Table_4,6917,6442,6344,6267,59
2024-11-05T14:44:53.626953Z,Source_D,Table_4,7026,6401,6287,6107,55
2024-11-05T14:45:53.645751Z,Source_D,Table_4,7076,6600,6325,6105,54
2024-11-05T14:46:53.647257Z,Source_D,Table_4,6900,6415,6325,6211,60
2024-11-05T14:47:53.648678Z,Source_D,Table_4,6918,6446,6387,6160,56
2024-11-05T14:48:53.650791Z,Source_D,Table_4,7089,6431,6295,6299,56
2024-11-05T14:49:53.653213Z,Source_D,Table_4,6985,6560,6257,6106,58
2024-11-05T14:50:53.654147Z,Source_D,Table_4,6929,6408,6342,6113,50
2024-11-05T14:51:53.656385Z,Source_D,Table_4,6936,6565,6228,6102,55
2024-11-05T14:52:53.659597Z,Source_D,Table_4,6964,6453,6397,6117,54
